strategy,symbol,timeframe,params,trades,win_rate,sharpe,max_drawdown_pct,return_pct,profit_factor,avg_pnl
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",80,0.2375,-7.0842,0.4947,-44.9697,0.3661,-5.621213
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",80,0.2375,-6.9876,0.4714,-43.6514,0.3872,-5.456429
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",80,0.2375,-7.0842,0.4947,-44.9697,0.3661,-5.621213
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",80,0.2375,-7.0842,0.4947,-44.9697,0.3661,-5.621213
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",80,0.2375,-6.9876,0.4714,-43.6514,0.3872,-5.456429
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",80,0.2375,-7.0842,0.4947,-44.9697,0.3661,-5.621213
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",80,0.2375,-7.0842,0.4947,-44.9697,0.3661,-5.621213
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",62,0.2419,-5.9183,0.4199,-38.162,0.4171,-6.155164
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",62,0.2419,-5.9651,0.4477,-39.2861,0.399,-6.336465
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",62,0.2419,-5.9651,0.4477,-39.2861,0.399,-6.336465
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",62,0.2419,-5.9183,0.4199,-38.162,0.4171,-6.155164
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",62,0.2419,-5.9651,0.4477,-39.2861,0.399,-6.336465
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",62,0.2419,-5.9651,0.4477,-39.2861,0.399,-6.336465
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",62,0.2419,-5.9183,0.4199,-38.162,0.4171,-6.155164
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",62,0.2419,-5.9651,0.4477,-39.2861,0.399,-6.336465
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",62,0.2419,-5.9651,0.4477,-39.2861,0.399,-6.336465
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",44,0.25,-3.1429,0.2905,-20.7576,0.6241,-4.717639
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",44,0.25,-3.7511,0.3422,-25.6174,0.5264,-5.822127
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",44,0.25,-3.7511,0.3422,-25.6174,0.5264,-5.822127
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",44,0.25,-3.0537,0.2988,-21.6836,0.6123,-4.928096
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",44,0.25,-3.6308,0.3486,-26.3338,0.5183,-5.984943
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",44,0.25,-3.6308,0.3486,-26.3338,0.5183,-5.984943
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",44,0.25,-3.0537,0.2988,-21.6836,0.6123,-4.928096
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",44,0.25,-3.6308,0.3486,-26.3338,0.5183,-5.984943
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",44,0.25,-3.6308,0.3486,-26.3338,0.5183,-5.984943
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",78,0.2564,-6.5629,0.449,-41.2646,0.3991,-5.290336
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",78,0.2564,-6.5607,0.4741,-42.1916,0.3864,-5.409174
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",78,0.2564,-6.5607,0.4741,-42.1916,0.3864,-5.409174
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",78,0.2564,-6.5629,0.449,-41.2646,0.3991,-5.290336
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",78,0.2564,-6.5607,0.4741,-42.1916,0.3864,-5.409174
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 26, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",78,0.2564,-6.5607,0.4741,-42.1916,0.3864,-5.409174
