timestamp,open,high,low,close,volume
2025-01-01 08:00:00,3347.11,3348.84,3345.0,3347.23,700.2692
2025-01-01 08:15:00,3347.23,3348.3,3331.56,3337.85,2619.0698
2025-01-01 08:30:00,3337.85,3342.66,3336.84,3339.69,2298.9764
2025-01-01 08:45:00,3339.7,3340.1,3333.3,3337.01,2851.6597
2025-01-01 09:00:00,3337.0,3341.0,3330.9,3334.29,1999.0941
2025-01-01 09:15:00,3334.3,3334.35,3313.88,3322.34,13264.5281
2025-01-01 09:30:00,3322.38,3329.25,3319.6,3327.16,1827.2594
2025-01-01 09:45:00,3327.16,3335.0,3324.22,3334.64,1631.8108
2025-01-01 10:00:00,3334.83,3338.82,3328.55,3330.1,1670.7986
2025-01-01 10:15:00,3330.1,3336.4,3329.58,3332.96,2054.686
2025-01-01 10:30:00,3332.96,3337.29,3328.6,3330.92,874.7275
2025-01-01 10:45:00,3330.92,3331.98,3325.7,3326.69,1094.7381
2025-01-01 11:00:00,3326.69,3330.55,3323.71,3329.52,1961.2851
2025-01-01 11:15:00,3329.51,3335.6,3329.51,3335.6,1388.5454
2025-01-01 11:30:00,3335.6,3342.8,3334.41,3342.75,2163.1753
2025-01-01 11:45:00,3342.76,3348.35,3339.81,3341.0,1219.5769
2025-01-01 12:00:00,3341.01,3344.27,3338.58,3341.82,958.7363
2025-01-01 12:15:00,3341.81,3351.54,3341.57,3350.75,2065.9902
2025-01-01 12:30:00,3350.74,3352.31,3344.93,3347.62,1897.3637
2025-01-01 12:45:00,3347.63,3348.74,3344.32,3347.46,944.8051
2025-01-01 13:00:00,3347.46,3353.5,3337.41,3338.83,2118.9318
2025-01-01 13:15:00,3338.83,3342.7,3332.51,3336.29,1844.4149
2025-01-01 13:30:00,3336.28,3343.74,3334.63,3337.28,1155.8232
2025-01-01 13:45:00,3337.29,3343.77,3337.18,3343.37,1513.0618
2025-01-01 14:00:00,3343.37,3359.37,3343.36,3348.51,2898.8836
2025-01-01 14:15:00,3348.51,3348.86,3337.28,3337.58,2567.7968
2025-01-01 14:30:00,3337.47,3341.99,3328.2,3338.94,3038.102
2025-01-01 14:45:00,3338.95,3349.74,3335.41,3345.86,2224.1988
2025-01-01 15:00:00,3345.86,3351.0,3333.42,3337.29,2109.8863
2025-01-01 15:15:00,3337.28,3344.39,3333.72,3338.8,1511.5676
2025-01-01 15:30:00,3338.8,3347.34,3337.5,3347.33,1278.6855
2025-01-01 15:45:00,3347.34,3355.91,3347.33,3352.93,2771.4926
2025-01-01 16:00:00,3352.93,3357.19,3346.69,3347.72,3325.7232
2025-01-01 16:15:00,3347.71,3349.34,3343.36,3345.07,1972.5221
2025-01-01 16:30:00,3345.07,3346.27,3336.0,3336.32,2393.6142
2025-01-01 16:45:00,3336.32,3339.28,3332.26,3338.68,2205.9275
2025-01-01 17:00:00,3338.68,3340.0,3329.33,3330.82,1705.426
2025-01-01 17:15:00,3330.82,3334.86,3323.03,3334.01,2000.2791
2025-01-01 17:30:00,3334.01,3338.95,3332.26,3337.67,1029.1737
2025-01-01 17:45:00,3337.68,3344.81,3333.54,3343.7,1510.7431
2025-01-01 18:00:00,3343.71,3345.0,3333.26,3334.51,1608.4178
2025-01-01 18:15:00,3334.5,3341.27,3333.81,3338.82,1297.7728
2025-01-01 18:30:00,3338.81,3349.96,3338.52,3348.34,2409.6708
2025-01-01 18:45:00,3348.35,3352.0,3343.68,3348.57,2256.0633
2025-01-01 19:00:00,3348.57,3354.38,3345.58,3348.48,2821.3401
2025-01-01 19:15:00,3348.47,3350.0,3343.15,3345.0,1357.8897
